CODE;LIBELLE;LIBELLE COMMERCIAL;LIBELLE ETENDU;EAN;PCB;UNITE PRIX;UNITE COMMANDE;TYPE;SITE PRODUCTION;VALIDITE;CATEGORIE
A0000;EAU;EAU;;;0000;;;ACH;;E;
A0001;BAC A GLACE 5 L (unité);;;;0000;;;ACH;;E;
A0002;CHARME CUP CC 120 TRANSPARENT;;;;0000;;;ACH;;E;
A0003;COUV BAC A GLACE 5 L (unité);;;;0000;;;ACH;;E;
A0004;FRAISE ENTIERE PONTHIER KG;;;;0000;;;ACH;;E;
A0005;FRAISE ENTIERE PONTHIER 1KG;;;;0000;;;ACH;;D;
A0006;MELANGE FRUIT ROUG PONTHIER 1K;;;;0000;;;ACH;;E;
A0007;FRITES 9/9 CRUES SOUS VIDE;;;;0000;;;ACH;;E;
A0008;POMME DE TERRE EPLUCHEE CRUE;;;;0000;;;ACH;;E;
A0009;GENOISE FEUILLE CONGELE;;;;0000;;;ACH;;E;
A0010;PLAQUE FEUILLETAGE 40*60 X 15;;;;0000;;;ACH;;E;
A0011;SCOOTCH TRANSPARENT CT 72;;;;0000;;;ACH;;E;
A0012;SAC 200X300 MM SS VIDE CT 1000;;;;0000;;;ACH;;E;
A0013;SAC 200X300X70 CM IMP CT 100;;;;0000;;;ACH;;E;
A0014;SAC 250X300 MM SS VIDE CT 1000;;;;0000;;;ACH;;E;
A0015;SAC 250X350 MM SS VIDE CT 1000;;;;0000;;;ACH;;E;
A0016;SAC 250X300X70 CM IMP CT 100;;;;0000;;;ACH;;E;
A0017;SAC 250X350X70 CM IMP CT 100;;;;0000;;;ACH;;E;
A0018;SAC 300X300 MM SS VIDE CT 1000;;;;0000;;;ACH;;E;
A0019;SAC 300X400 MM SS VIDE CT 500;;;;0000;;;ACH;;E;
A0020;SAC 400X500 MM SS VIDE CT 500;;;;0000;;;ACH;;E;
A0021;SAC 400X600 MM SS VIDE CT 250;;;;0000;;;ACH;;E;
A0022;CART DOUBLE EPAISSEUR (unité);;;;0000;;;ACH;;E;
A0023;CARTON KIT DESSUS DESSOUS;;;;0000;;;ACH;;E;
A0024;CARTON KRAFT DIM 600X400X120;;;;0000;;;ACH;;E;
A0025;CARTON INT/EXT 600X400 CT1000;;;;0000;;;ACH;;E;
A0026;CARTON DESSU PLAT KIT FON COUV;;;;0000;;;ACH;;E;
